ISTANTE,Anno,Mese,Giorno,Data,VM
202001010000,2020,01,01,2020/01/01,0.0
202001020000,2020,01,02,2020/01/02,0.0
202001030000,2020,01,03,2020/01/03,0.0
202001040000,2020,01,04,2020/01/04,0.0
202001050000,2020,01,05,2020/01/05,0.0
202001060000,2020,01,06,2020/01/06,0.0
202001070000,2020,01,07,2020/01/07,0.0
202001080000,2020,01,08,2020/01/08,0.0
202001090000,2020,01,09,2020/01/09,0.0
202001100000,2020,01,10,2020/01/10,0.0
202001110000,2020,01,11,2020/01/11,0.0
202001120000,2020,01,12,2020/01/12,0.0
202001130000,2020,01,13,2020/01/13,0.0
202001140000,2020,01,14,2020/01/14,0.0
202001150000,2020,01,15,2020/01/15,0.0
202001160000,2020,01,16,2020/01/16,0.0
202001170000,2020,01,17,2020/01/17,0.0
202001180000,2020,01,18,2020/01/18,4.2
202001190000,2020,01,19,2020/01/19,0.2
202001200000,2020,01,20,2020/01/20,0.0
202001210000,2020,01,21,2020/01/21,0.0
202001220000,2020,01,22,2020/01/22,0.0
202001230000,2020,01,23,2020/01/23,0.0
202001240000,2020,01,24,2020/01/24,0.0
202001250000,2020,01,25,2020/01/25,0.2
202001260000,2020,01,26,2020/01/26,0.2
202001270000,2020,01,27,2020/01/27,0.0
202001280000,2020,01,28,2020/01/28,5.6
202001290000,2020,01,29,2020/01/29,0.0
202001300000,2020,01,30,2020/01/30,0.0
202001310000,2020,01,31,2020/01/31,0.0
202002010000,2020,02,01,2020/02/01,0.0
202002020000,2020,02,02,2020/02/02,0.0
202002030000,2020,02,03,2020/02/03,0.0
202002040000,2020,02,04,2020/02/04,0.0
202002050000,2020,02,05,2020/02/05,0.0
202002060000,2020,02,06,2020/02/06,0.0
202002070000,2020,02,07,2020/02/07,0.0
202002080000,2020,02,08,2020/02/08,0.0
202002090000,2020,02,09,2020/02/09,0.0
202002100000,2020,02,10,2020/02/10,0.8
202002110000,2020,02,11,2020/02/11,0.2
202002120000,2020,02,12,2020/02/12,0.0
202002130000,2020,02,13,2020/02/13,1.4
202002140000,2020,02,14,2020/02/14,0.8
202002150000,2020,02,15,2020/02/15,0.0
202002160000,2020,02,16,2020/02/16,0.0
202002170000,2020,02,17,2020/02/17,0.0
202002180000,2020,02,18,2020/02/18,0.4
202002190000,2020,02,19,2020/02/19,0.0
202002200000,2020,02,20,2020/02/20,0.0
202002210000,2020,02,21,2020/02/21,0.0
202002220000,2020,02,22,2020/02/22,0.0
202002230000,2020,02,23,2020/02/23,0.0
202002240000,2020,02,24,2020/02/24,0.0
202002250000,2020,02,25,2020/02/25,0.0
202002260000,2020,02,26,2020/02/26,0.2
202002270000,2020,02,27,2020/02/27,0.0
202002280000,2020,02,28,2020/02/28,0.0
202002290000,2020,02,29,2020/02/29,0.0
202003010000,2020,03,01,2020/03/01,13.6
202003020000,2020,03,02,2020/03/02,12.0
202003030000,2020,03,03,2020/03/03,9.2
202003040000,2020,03,04,2020/03/04,0.0
202003050000,2020,03,05,2020/03/05,8.4
202003060000,2020,03,06,2020/03/06,8.0
202003070000,2020,03,07,2020/03/07,0.8
202003080000,2020,03,08,2020/03/08,0.0
202003090000,2020,03,09,2020/03/09,0.0
202003100000,2020,03,10,2020/03/10,0.0
202003110000,2020,03,11,2020/03/11,0.0
202003120000,2020,03,12,2020/03/12,0.0
202003130000,2020,03,13,2020/03/13,0.0
202003140000,2020,03,14,2020/03/14,0.0
202003150000,2020,03,15,2020/03/15,0.0
202003160000,2020,03,16,2020/03/16,0.0
202003170000,2020,03,17,2020/03/17,0.0
202003180000,2020,03,18,2020/03/18,0.0
202003190000,2020,03,19,2020/03/19,0.0
202003200000,2020,03,20,2020/03/20,0.0
202003210000,2020,03,21,2020/03/21,0.0
202003220000,2020,03,22,2020/03/22,0.0
202003230000,2020,03,23,2020/03/23,0.0
202003240000,2020,03,24,2020/03/24,0.0
202003250000,2020,03,25,2020/03/25,0.0
202003260000,2020,03,26,2020/03/26,0.4
202003270000,2020,03,27,2020/03/27,0.0
202003280000,2020,03,28,2020/03/28,0.0
202003290000,2020,03,29,2020/03/29,0.0
202003300000,2020,03,30,2020/03/30,4.0
202003310000,2020,03,31,2020/03/31,0.0
202004010000,2020,04,01,2020/04/01,0.0
202004020000,2020,04,02,2020/04/02,0.0
202004030000,2020,04,03,2020/04/03,0.0
202004040000,2020,04,04,2020/04/04,0.0
202004050000,2020,04,05,2020/04/05,0.0
202004060000,2020,04,06,2020/04/06,0.0
202004070000,2020,04,07,2020/04/07,0.0
202004080000,2020,04,08,2020/04/08,0.0
202004090000,2020,04,09,2020/04/09,0.0
202004100000,2020,04,10,2020/04/10,0.0
202004110000,2020,04,11,2020/04/11,0.0
202004120000,2020,04,12,2020/04/12,0.0
202004130000,2020,04,13,2020/04/13,0.0
202004140000,2020,04,14,2020/04/14,0.0
202004150000,2020,04,15,2020/04/15,0.0
202004160000,2020,04,16,2020/04/16,0.0
202004170000,2020,04,17,2020/04/17,0.0
202004180000,2020,04,18,2020/04/18,0.0
202004190000,2020,04,19,2020/04/19,0.0
202004200000,2020,04,20,2020/04/20,0.2
202004210000,2020,04,21,2020/04/21,0.0
202004220000,2020,04,22,2020/04/22,0.0
202004230000,2020,04,23,2020/04/23,0.0
202004240000,2020,04,24,2020/04/24,0.0
202004250000,2020,04,25,2020/04/25,0.0
202004260000,2020,04,26,2020/04/26,0.0
202004270000,2020,04,27,2020/04/27,0.0
202004280000,2020,04,28,2020/04/28,0.0
202004290000,2020,04,29,2020/04/29,4.8
202004300000,2020,04,30,2020/04/30,10.2
202005010000,2020,05,01,2020/05/01,0.0
202005020000,2020,05,02,2020/05/02,0.0
202005030000,2020,05,03,2020/05/03,0.0
202005040000,2020,05,04,2020/05/04,0.0
202005050000,2020,05,05,2020/05/05,0.0
202005060000,2020,05,06,2020/05/06,0.0
202005070000,2020,05,07,2020/05/07,0.0
202005080000,2020,05,08,2020/05/08,0.0
202005090000,2020,05,09,2020/05/09,0.0
202005100000,2020,05,10,2020/05/10,0.0
202005110000,2020,05,11,2020/05/11,29.8
202005120000,2020,05,12,2020/05/12,3.8
202005130000,2020,05,13,2020/05/13,0.2
202005140000,2020,05,14,2020/05/14,9.2
202005150000,2020,05,15,2020/05/15,15.4
202005160000,2020,05,16,2020/05/16,6.2
202005170000,2020,05,17,2020/05/17,3.2
202005180000,2020,05,18,2020/05/18,0.0
202005190000,2020,05,19,2020/05/19,4.0
202005200000,2020,05,20,2020/05/20,0.0
202005210000,2020,05,21,2020/05/21,0.0
202005220000,2020,05,22,2020/05/22,0.0
202005230000,2020,05,23,2020/05/23,4.4
202005240000,2020,05,24,2020/05/24,0.0
202005250000,2020,05,25,2020/05/25,0.0
202005260000,2020,05,26,2020/05/26,0.0
202005270000,2020,05,27,2020/05/27,0.0
202005280000,2020,05,28,2020/05/28,2.2
202005290000,2020,05,29,2020/05/29,7.0
202005300000,2020,05,30,2020/05/30,0.2
202005310000,2020,05,31,2020/05/31,0.8
202006010000,2020,06,01,2020/06/01,0.0
202006020000,2020,06,02,2020/06/02,0.0
202006030000,2020,06,03,2020/06/03,0.0
202006040000,2020,06,04,2020/06/04,50.0
202006050000,2020,06,05,2020/06/05,2.4
202006060000,2020,06,06,2020/06/06,0.2
202006070000,2020,06,07,2020/06/07,4.2
202006080000,2020,06,08,2020/06/08,11.0
202006090000,2020,06,09,2020/06/09,5.8
202006100000,2020,06,10,2020/06/10,0.2
202006110000,2020,06,11,2020/06/11,0.0
202006120000,2020,06,12,2020/06/12,0.0
202006130000,2020,06,13,2020/06/13,7.0
202006140000,2020,06,14,2020/06/14,0.6
202006150000,2020,06,15,2020/06/15,2.6
202006160000,2020,06,16,2020/06/16,0.0
202006170000,2020,06,17,2020/06/17,7.4
202006180000,2020,06,18,2020/06/18,0.0
202006190000,2020,06,19,2020/06/19,7.2
202006200000,2020,06,20,2020/06/20,0.0
202006210000,2020,06,21,2020/06/21,0.0
202006220000,2020,06,22,2020/06/22,0.0
202006230000,2020,06,23,2020/06/23,0.0
202006240000,2020,06,24,2020/06/24,0.0
202006250000,2020,06,25,2020/06/25,3.2
202006260000,2020,06,26,2020/06/26,10.4
202006270000,2020,06,27,2020/06/27,0.0
202006280000,2020,06,28,2020/06/28,0.0
202006290000,2020,06,29,2020/06/29,0.0
202006300000,2020,06,30,2020/06/30,0.0
202007010000,2020,07,01,2020/07/01,7.0
202007020000,2020,07,02,2020/07/02,30.4
202007030000,2020,07,03,2020/07/03,0.0
202007040000,2020,07,04,2020/07/04,0.0
202007050000,2020,07,05,2020/07/05,0.0
202007060000,2020,07,06,2020/07/06,0.0
202007070000,2020,07,07,2020/07/07,0.0
202007080000,2020,07,08,2020/07/08,0.0
202007090000,2020,07,09,2020/07/09,0.0
202007100000,2020,07,10,2020/07/10,0.0
202007110000,2020,07,11,2020/07/11,15.6
202007120000,2020,07,12,2020/07/12,0.0
202007130000,2020,07,13,2020/07/13,0.0
202007140000,2020,07,14,2020/07/14,0.4
202007150000,2020,07,15,2020/07/15,0.0
202007160000,2020,07,16,2020/07/16,0.0
202007170000,2020,07,17,2020/07/17,0.8
202007180000,2020,07,18,2020/07/18,0.2
202007190000,2020,07,19,2020/07/19,0.0
202007200000,2020,07,20,2020/07/20,0.0
202007210000,2020,07,21,2020/07/21,0.0
202007220000,2020,07,22,2020/07/22,33.6
202007230000,2020,07,23,2020/07/23,0.8
202007240000,2020,07,24,2020/07/24,14.2
202007250000,2020,07,25,2020/07/25,0.0
202007260000,2020,07,26,2020/07/26,0.0
202007270000,2020,07,27,2020/07/27,0.0
202007280000,2020,07,28,2020/07/28,0.0
202007290000,2020,07,29,2020/07/29,0.0
202007300000,2020,07,30,2020/07/30,0.0
202007310000,2020,07,31,2020/07/31,0.0
202008010000,2020,08,01,2020/08/01,0.0
202008020000,2020,08,02,2020/08/02,70.8
202008030000,2020,08,03,2020/08/03,49.6
202008040000,2020,08,04,2020/08/04,0.4
202008050000,2020,08,05,2020/08/05,0.0
202008060000,2020,08,06,2020/08/06,0.0
202008070000,2020,08,07,2020/08/07,0.0
202008080000,2020,08,08,2020/08/08,0.0
202008090000,2020,08,09,2020/08/09,0.0
202008100000,2020,08,10,2020/08/10,0.0
202008110000,2020,08,11,2020/08/11,0.0
202008120000,2020,08,12,2020/08/12,0.0
202008130000,2020,08,13,2020/08/13,0.2
