Datetime,CO,DVP,NO,NO2,NOx,O3,SO2,T,RH,VVP
17/06/2020 17,0.116,275,2,4,5,92,3,23,55,0.7
17/06/2020 18,0.116,128,2,5,7,102,3,24,54,0.6
17/06/2020 19,0.116,259,2,6,7,108,3,23,55,0.8
17/06/2020 20,0.116,39,2,8,10,80,3,21,69,0.5
17/06/2020 21,0.116,76,2,11,12,57,3,19,84,0.5
17/06/2020 22,0.116,82,2,11,12,50,3,18,89,0.4
17/06/2020 23,0.116,59,2,10,11,44,3,17,92,0.5
18/06/2020 00,0.116,85,2,9,10,49,3,16,94,0.6
18/06/2020 01,0.116,84,2,9,10,49,3,17,94,0.6
18/06/2020 02,0.116,130,2,7,8,51,3,16,93,0.7
18/06/2020 03,0.116,65,2,8,9,37,3,15,95,0.6
18/06/2020 04,0.116,66,2,9,10,29,3,15,95,0.6
18/06/2020 05,0.116,95,2,7,8,35,3,15,95,0.6
18/06/2020 06,0.116,82,2,7,9,34,3,16,93,0.5
18/06/2020 07,0.116,128,2,7,9,50,3,18,81,0.7
18/06/2020 08,0.116,258,2,8,10,59,3,21,68,0.8
18/06/2020 09,0.116,249,2,6,10,71,3,22,61,1.1
18/06/2020 10,0.116,264,2,5,7,74,3,22,61,1.2
18/06/2020 11,0.116,257,2,5,7,89,3,23,58,1.3
18/06/2020 12,0.116,245,2,5,7,101,3,23,58,2.1
18/06/2020 13,0.116,245,2,5,6,108,3,24,57,2.4
18/06/2020 14,0.116,249,2,5,6,113,3,24,55,2.1
18/06/2020 15,0.116,256,2,4,6,106,3,25,51,1.8
18/06/2020 16,0.116,266,2,5,7,100,3,24,56,1.7
18/06/2020 17,0.116,263,2,5,7,100,3,25,50,1.2
18/06/2020 18,0.116,263,2,5,6,103,3,25,49,0.9
18/06/2020 19,0.116,253,2,7,9,95,3,23,60,0.8
18/06/2020 20,,,,,,,,,,
18/06/2020 21,0.116,249,2,9,10,80,3,21,65,1.3
18/06/2020 22,0.116,85,2,13,15,52,3,20,74,0.7
18/06/2020 23,0.116,84,2,12,13,49,3,19,76,0.7
19/06/2020 00,0.116,78,2,12,13,43,3,18,80,0.8
19/06/2020 01,0.116,84,2,11,12,40,3,17,84,0.6
19/06/2020 02,0.116,93,2,9,10,40,3,17,87,0.5
19/06/2020 03,0.116,66,2,12,13,35,3,16,91,0.6
19/06/2020 04,0.116,125,2,10,11,39,3,16,92,0.5
19/06/2020 05,0.116,63,2,11,12,37,3,16,93,0.8
